Date,State,Total Cases,Confirmed New C19 Case,Total Death,Confirmed New C19 Death
2021-01-04,TX,"1,811,523","18,182","32,453",328
2021-06-06,TX,"2,953,238",637,"51,065",23
2021-12-16,TX,"4,391,567","5,735","73,658",90
2021-09-23,TX,"3,970,552","11,044","62,033",463
2021-04-18,TX,"2,841,564","1,904","49,487",52
2021-09-28,NY,"1,333,608","2,721","20,908",21
2021-09-10,NY,"1,274,025","4,064","20,498",27
2020-12-31,TX,"1,756,172","18,725","31,282",266
2020-12-05,TX,"1,364,933","14,391","25,249",192
2021-02-06,NY,"838,229","5,902","16,781",95
2021-12-07,NY,"1,621,012","6,051","22,491",42
2020-12-30,NY,"537,345","8,712","12,466",112
2020-12-12,NY,"413,292","7,146","10,743",74
2020-10-03,TX,"763,010","7,006","17,096",62
2021-05-28,TX,"2,942,235","2,032","50,866",29
2021-05-21,TX,"2,929,961","1,577","50,649",31
2020-10-13,NY,"225,406",848,"9,117",4
2021-08-04,NY,"1,177,993","1,526","19,996",5
2021-07-09,TX,"3,004,105","2,397","51,518",1
2021-06-20,NY,"1,156,172",54,"19,902",0
2021-11-13,NY,"1,486,783","5,095","21,775",15
2021-11-22,TX,"4,292,386","1,956","72,208",10
2020-11-02,TX,"977,785","5,455","19,720",132
2021-03-18,TX,"2,735,811","4,541","48,039",72
2021-09-14,TX,"3,839,170","23,460","59,197",296
2020-11-06,NY,"253,358","2,006","9,326",13
2021-08-02,TX,"3,132,479","4,358","52,110",4
2021-01-06,TX,"1,867,163","24,010","33,124",345
2021-03-08,TX,"2,689,413","2,595","47,237",102
2020-12-25,TX,"1,657,857","4,335","29,718",222
2021-01-29,NY,"798,728","6,799","16,048",89
2021-05-01,TX,"2,886,713","3,486","49,980",35
2021-11-02,NY,"1,442,927","2,295","21,800",14
2021-02-16,NY,"877,624","3,053","17,440",44
2021-08-17,TX,"3,354,048","23,990","53,196",96
2021-12-03,NY,"1,594,932","8,853","22,344",42
2020-12-29,NY,"528,633","6,868","12,354",91
2021-09-15,TX,"3,864,455","24,454","59,608",411
2020-12-04,TX,"1,350,542","16,796","25,057",227
2021-06-20,TX,"2,975,701",526,"51,314",20
2021-08-19,NY,"1,210,346","2,758","20,123",12
2021-12-04,TX,"4,337,687","8,146","72,956",74
2021-05-27,NY,"1,149,326",631,"19,742",6
2021-05-08,NY,"1,131,817","1,939","19,540",18
2021-04-03,TX,"2,791,810","1,650","48,859",43
2020-10-26,NY,"237,676",767,"9,215",12
2021-04-12,TX,"2,819,529","1,660","49,227",46
2021-06-28,TX,"2,984,523",183,"51,437",15
2021-10-17,TX,"4,162,747",630,"67,812",88
2021-07-29,NY,"1,170,157","1,174","19,981",0
2020-12-29,TX,"1,715,978","32,552","30,720",282
2021-09-26,NY,"1,328,061","2,963","20,871",29
2021-02-02,TX,"2,415,490","23,047","41,666",244
2021-05-10,TX,"2,905,863",753,"50,292",34
2020-12-16,TX,"1,519,340","18,802","27,616",214
2021-09-03,TX,"3,661,361","26,615","56,598",302
2021-12-16,NY,"1,687,870","9,958","22,891",40
2021-03-20,NY,"985,007","3,859","18,551",23
2021-03-13,TX,"2,715,755","4,906","47,660",76
2021-02-09,NY,"850,387","3,514","17,009",84
2021-01-29,TX,"2,330,028","19,076","40,654",275
2020-12-24,NY,"494,968","7,906","11,912",100
2021-03-19,TX,"2,739,385","3,574","48,101",62
2021-04-19,NY,"1,094,889","2,235","19,199",20
2020-10-20,NY,"231,273",765,"9,164",9
2021-04-06,NY,"1,048,952","2,850","18,916",13
2020-11-27,TX,"1,255,332","3,987","23,721",193
2021-08-27,NY,"1,232,380","4,223","20,226",14
2021-10-02,TX,"4,065,735","7,397","64,590",286
2021-07-10,TX,"3,006,425","2,320","51,519",1
2021-03-27,TX,"2,768,665","3,219","48,560",55
2021-07-21,NY,"1,163,634",582,"19,963",3
2021-02-03,NY,"822,958","3,342","16,513",107
2020-12-20,NY,"467,569","6,713","11,467",101
2021-12-21,TX,"4,434,762","11,104","73,918",53
2021-10-12,NY,"1,380,063","2,348","21,251",25
2021-05-07,NY,"1,129,878","1,480","19,522",14
2020-11-16,NY,"280,349","2,205","9,518",21
2020-11-17,TX,"1,129,873","13,643","21,960",188
2020-12-15,TX,"1,500,538","18,397","27,402",219
2021-07-18,TX,"3,029,285","2,101","51,651",11
2021-11-20,NY,"1,521,477","5,556","21,943",18
2020-10-01,TX,"752,501","3,534","16,973",61
2021-09-29,NY,"1,337,434","3,826","20,938",30
2021-07-30,NY,"1,171,416","1,259","19,983",2
2021-10-16,NY,"1,395,252","4,018","21,355",19
2021-08-10,NY,"1,189,064","1,722","20,028",8
2020-10-01,NY,"215,457",849,"9,046",5
2021-07-25,NY,"1,166,710",912,"19,973",7
2021-02-17,NY,"880,638","3,014","17,500",60
2020-10-05,NY,"218,630",465,"9,073",5
2020-12-19,NY,"460,856","6,574","11,366",99
2021-02-20,TX,"2,583,617","6,486","45,317",164
2021-06-21,NY,"1,156,227",55,"19,906",4
2021-06-17,NY,"1,155,645",212,"19,889",2
2021-06-14,TX,"2,967,730",376,"51,214",15
2021-12-29,NY,"1,860,964","27,499","23,516",70
2021-12-28,TX,"4,531,151","14,795","74,330",68
2020-10-12,NY,"224,558",636,"9,113",10
2021-08-03,TX,"3,147,040","14,239","52,161",51
2021-09-02,NY,"1,249,321","3,256","20,332",24
2021-06-09,NY,"1,153,952",216,"19,848",4
2020-10-21,TX,"838,809","5,252","18,386",92
2021-09-03,NY,"1,253,112","3,791","20,352",20
2021-08-18,NY,"1,207,588","2,658","20,111",15
2021-03-21,NY,"988,742","3,735","18,577",26
2021-04-22,NY,"1,102,176","2,798","19,268",22
2021-11-16,TX,"4,272,442","4,301","71,722",89
2020-12-11,NY,"406,146","7,248","10,669",71
2021-03-25,TX,"2,759,866","3,234","48,453",50
2021-03-25,NY,"1,002,364","4,048","18,653",15
2021-03-18,NY,"977,455","3,748","18,500",23
2021-03-02,TX,"2,655,592","7,747","46,638",100
2021-05-01,NY,"1,121,015","1,857","19,409",0
2021-06-09,TX,"2,962,028","6,493","51,119",17
2021-01-05,TX,"1,843,153","31,630","32,779",326
2021-05-23,NY,"1,147,037",634,"19,706",4
2020-10-24,NY,"235,930","1,306","9,197",12
2021-03-31,NY,"1,026,173","4,197","18,784",27
2021-09-05,TX,"3,686,523","7,324","57,057",154
2021-06-03,TX,"2,947,860","1,862","50,997",18
2021-02-08,TX,"2,491,227","8,040","43,099",217
2020-11-22,NY,"301,449","3,461","9,679",27
2021-12-05,NY,"1,610,404","7,830","22,406",32
2021-03-05,TX,"2,678,295","6,853","46,960",102
2020-11-26,NY,"317,677","4,602","9,838",58
2020-12-03,TX,"1,333,746","17,552","24,830",195
2021-07-15,NY,"1,160,945",406,"19,955",1
2021-03-07,NY,"942,268","3,282","18,228",27
2021-06-07,TX,"2,953,743",505,"51,083",18
2020-11-19,NY,"290,513","3,463","9,596",23
2021-09-12,NY,"1,281,351","3,735","20,538",20
2020-12-28,TX,"1,683,426","14,829","30,438",232
2021-09-08,TX,"3,733,656","34,425","57,524",286
2021-12-06,NY,"1,614,961","4,557","22,449",43
2021-04-01,TX,"2,786,642","3,337","48,773",49
2021-06-15,NY,"1,155,263",146,"19,884",6
2021-07-03,TX,"2,994,052","1,438","51,493",13
2021-03-28,NY,"1,014,969","4,193","18,711",14
2021-03-24,TX,"2,756,632","4,344","48,403",54
2021-11-14,NY,"1,490,979","4,196","21,796",21
2021-08-07,TX,"3,219,300","19,981","52,435",65
2021-12-08,TX,"4,355,596","3,849","73,147",95
2021-05-18,NY,"1,142,612",628,"19,654",9
2020-10-26,TX,"867,075","4,700","18,856",114
2021-10-05,NY,"1,356,030","2,724","21,075",28
2021-12-10,TX,"4,364,714","5,017","73,337",110
2020-11-29,TX,"1,266,707","7,050","24,069",171
2021-07-05,NY,"1,158,346",141,"19,936",1
2021-11-27,TX,"4,306,239",509,"72,381",0
2021-01-30,TX,"2,349,142","19,114","40,928",274
2021-03-16,NY,"970,120","3,138","18,455",24
2021-06-24,TX,"2,980,499","2,240","51,378",13
2020-11-22,TX,"1,193,616","9,769","22,791",173
2021-01-18,NY,"719,918","6,957","14,814",116
2021-01-27,TX,"2,292,732","19,613","40,100",313
2021-06-30,NY,"1,157,475",131,"19,930",2
2020-11-18,NY,"287,050","3,547","9,573",29
2021-02-19,NY,"887,832","3,838","17,622",67
2021-05-07,TX,"2,901,504","2,926","50,198",27
2021-01-15,TX,"2,072,903","27,204","36,253",327
2021-06-29,NY,"1,157,344",106,"19,928",1
2020-10-18,TX,"823,779","3,216","18,131",81
2021-01-12,NY,"665,919","9,220","14,050",122
2021-12-29,TX,"4,545,437","14,286","74,401",71
2021-10-10,NY,"1,373,932","2,077","21,204",25
2020-10-04,NY,"218,165",690,"9,068",11
2021-07-14,NY,"1,160,539",336,"19,954",2
2021-08-05,NY,"1,179,682","1,689","20,000",4
2021-11-04,NY,"1,449,814","3,657","21,542",29
2021-09-27,NY,"1,330,887","2,826","20,887",16
2020-12-01,TX,"1,296,972","18,540","24,455",200
2020-12-10,TX,"1,433,551","15,299","26,310",230
2021-07-13,NY,"1,160,203",285,"19,952",5
2021-07-01,NY,"1,157,650",175,"19,932",2
2021-01-24,TX,"2,240,526","11,565","39,144",329
2020-12-14,NY,"426,123","6,015","10,901",67
2021-04-01,NY,"1,030,739","4,566","18,814",30
2021-01-20,NY,"733,850","6,770","15,065",128
2021-08-08,NY,"1,185,661","1,773","20,014",5
2021-10-29,TX,"4,217,243","5,268","69,846",178
2020-10-12,TX,"795,126","2,648","17,670",71
2021-08-15,NY,"1,200,816","2,221","20,080",11
2021-10-15,TX,"4,156,151","6,033","67,477",275
2021-04-05,TX,"2,794,483",959,"48,933",38
2020-11-05,TX,"1,008,438","10,171","20,137",149
2021-07-17,TX,"3,027,139","3,566","51,640",30
2021-02-16,TX,"2,567,297","3,348","44,584",157
2021-08-30,TX,"3,561,407","9,880","55,404",33
2021-01-02,NY,"569,204","9,846","12,798",97
2021-11-04,TX,"4,236,624","3,127","70,432",139
2021-07-04,TX,"2,994,471",419,"51,498",5
2021-08-06,NY,"1,181,447","1,765","20,002",2
2021-08-28,NY,"1,235,297","2,917","20,248",22
2021-05-25,TX,"2,936,733","3,964","50,776",33
2021-11-06,NY,"1,457,547","3,851","21,604",34
2021-09-10,TX,"3,787,220","23,245","58,332",400
2021-05-11,NY,"1,135,113",959,"19,581",20
2020-11-04,TX,"998,267","9,817","19,988",127
2021-03-11,NY,"954,005","3,199","18,335",32
2021-06-22,NY,"1,156,354",127,"19,910",4
2021-10-27,NY,"1,425,129","3,500","21,656",30
2021-12-27,TX,"4,516,356","17,331","74,262",170
2020-10-17,TX,"820,563","4,885","18,050",79
2021-08-08,TX,"3,225,082","5,740","52,463",28
2021-11-07,TX,"4,244,349","1,140","70,758",53
2021-07-23,TX,"3,056,111","7,191","51,802",53
2021-04-13,TX,"2,826,806","7,277","49,275",48
2021-04-19,TX,"2,842,763","1,199","49,521",34
2021-12-21,NY,"1,735,648","8,498","23,121",41
2021-02-07,NY,"842,972","4,743","16,863",82
2021-11-09,TX,"4,251,485","5,359","70,862",96
2020-11-08,NY,"257,817","2,037","9,353",13
2021-11-10,NY,"1,471,378","4,164","21,701",25
2021-02-24,TX,"2,613,792","7,517","45,902",126
2021-06-14,NY,"1,155,117",164,"19,878",6
2021-10-03,NY,"1,351,472","3,396","21,033",24
2020-12-18,NY,"454,282","8,198","11,267",91
2021-03-10,NY,"950,806","3,069","18,303",20
